Date,cumulative,SPY_Price
2015-04-22,305720.57450626034,270593.5441832529
2015-04-23,307280.15412482,271274.42651140236
2015-04-24,313922.4693566293,271903.91039812815
2015-04-27,312859.195122244,270773.39952271193
2015-04-28,310984.978054577,271634.13719032047
2015-04-29,316162.7965077728,270516.46612387925
2015-04-30,312750.9278551688,267805.7766202565
2015-05-01,314289.1254490095,270709.16127231333
2015-05-04,312965.1206385567,271479.9810715732
2015-05-05,312504.71552125167,268371.0222565837
2015-05-06,312779.7335659873,267266.19099911745
2015-05-07,314524.91936234705,268332.48322689685
2015-05-08,314679.00001116225,271865.3713684414
2015-05-11,313262.2180020987,270567.8449625411
2015-05-12,313139.16556626826,269758.4861335944
2015-05-13,312413.91075573256,269809.884575018
2015-05-14,314902.28202249855,272623.3513587262
2015-05-15,313838.32193679095,272918.8237872457
2015-05-18,314295.8647823413,273766.7216458792
2015-05-19,313161.18576756096,273676.7841747688
2015-05-20,312815.0822872715,273484.08902633475
2015-05-21,315373.63652182673,274280.58844354464
2015-05-22,316070.6459895866,273625.405336107
2015-05-26,314248.4013683798,270683.4620516015
2015-05-27,315912.8221986208,273252.83524545206
2015-05-28,314809.4694888587,272944.52300795756
2015-05-29,315113.76341597096,271248.7272906905
2015-06-01,315872.0259356522,271801.15272080456
2015-06-02,315397.69599677523,271531.35991023504
2015-06-03,316250.5963367972,272250.7812680713
2015-06-04,314742.5895924691,269951.2008847902
2015-06-05,314807.5684744065,269488.71292578673
2015-06-08,312662.23692602984,267831.4562382065
2015-06-09,312584.5468664506,267792.9172085197
2015-06-10,314376.92233114864,271004.63370083284
2015-06-11,314517.1706415343,271878.23078017816
2015-06-12,313138.8980332982,269797.0251632812
2015-06-15,312191.05917493417,268640.8150671532
2015-06-16,313559.79754841526,270105.35700353753
2015-06-17,314264.0696398705,270542.1457418293
2015-06-18,317772.00690702,273355.6125255375
2015-06-19,316389.522732891,270824.77836137376
2015-06-22,316897.18009686086,272212.2422383845
2015-06-23,317903.71758742735,272404.9373868186
2015-06-24,316503.82395739935,270426.5286527688
2015-06-25,316250.35263077356,269604.33001484716
2015-06-26,315101.1799993636,269552.9511761853
2015-06-29,311195.895468608,263900.31838805706
2015-06-30,311982.45294292935,264452.74381817103
2015-07-01,313437.06084167823,266572.46886199305
2015-07-02,314074.3453910487,266328.37527213537
2015-07-06,313127.2172945163,265570.41488461226
2015-07-07,314506.68464549235,267240.51138116745
2015-07-08,311708.7032492885,262756.94810090406
2015-07-09,312421.93567206943,263232.2758688826
2015-07-10,315702.66800938145,266546.7696412812
2015-07-13,318566.9382884197,269488.71292578673
2015-07-14,321103.4575074888,270657.7628308897
2015-07-15,319989.4346083925,270567.8449625411
2015-07-16,323188.034979537,272738.96844778664
2015-07-17,326920.3907232751,272970.20262590755
2015-07-20,327382.2322118512,273111.5189356798
2015-07-21,328057.68169168226,272032.3868989254
2015-07-22,327516.16249336966,271544.19971921004
2015-07-23,325090.15879521356,270015.4195324271
2015-07-24,331178.3076144635,267214.8121604557
2015-07-27,330224.84233651974,265660.3327529609
2015-07-28,331056.8743291169,268923.4476866977
2015-07-29,331555.6296368628,270773.39952271193
2015-07-30,332107.2382985794,270837.6377731106
2015-07-31,331481.48606591043,270426.5286527688
2015-08-03,331000.8374478178,269514.3925437367
